Date,INTL_BONDS,EU_SMALL_CAP,EURO_STOXX_50,GOLD
2007-12-17,20.327421188354492,27.083362579345703,33.88096237182617,78.12999725341797
2007-12-18,20.358383178710938,27.339046478271484,34.25484085083008,79.25
2007-12-19,20.400962829589844,27.060123443603516,33.97443771362305,79.23999786376953
2007-12-20,20.366117477416992,27.046173095703125,34.27134323120117,78.66999816894531
2007-12-21,20.339021682739258,27.28789520263672,34.843017578125,80.0999984741211
2007-12-24,20.377735137939453,27.41807746887207,34.9660758972168,80.13999938964844
2007-12-26,20.474498748779297,27.45990562438965,35.094730377197266,81.5199966430664
2007-12-27,20.559656143188477,27.483156204223633,35.150665283203125,81.55999755859375
2007-12-28,20.74527359008789,27.948030471801758,35.603755950927734,83.0
2007-12-31,20.892854690551758,27.492443084716797,35.049983978271484,82.45999908447266
2008-01-02,21.021011352539062,27.836448669433594,34.98845291137695,84.86000061035156
2008-01-03,21.08313751220703,27.67839813232422,35.10591125488281,85.56999969482422
2008-01-04,21.133621215820312,27.07405662536621,34.38433837890625,85.12999725341797
2008-01-07,21.08701515197754,26.725414276123047,34.65282440185547,84.7699966430664
2008-01-08,21.063720703125,26.474380493164062,34.28922653198242,86.77999877929688
2008-01-09,20.98605728149414,26.307037353515625,34.501808166503906,86.55000305175781
2008-01-10,21.164676666259766,26.2977352142334,34.65282440185547,88.25
2008-01-11,21.15690803527832,25.749187469482422,34.17737579345703,88.58000183105469
2008-01-14,21.33555030822754,26.34421157836914,34.9660758972168,89.54000091552734
2008-01-15,21.32390594482422,25.567888259887695,33.74665832519531,87.98999786376953
2008-01-16,21.234594345092773,24.991437911987305,33.04185485839844,86.69999694824219
2008-01-17,21.234594345092773,24.53587532043457,32.365020751953125,86.5
2008-01-18,21.250120162963867,24.71717071533203,32.19721221923828,87.41999816894531
2008-01-22,21.114213943481445,24.43824577331543,30.457590103149414,88.16999816894531
2008-01-23,21.2073974609375,24.308090209960938,29.657669067382812,87.88999938964844
2008-01-24,21.250120162963867,24.79155731201172,31.033714294433594,90.08000183105469
2008-01-25,21.234594345092773,24.43824577331543,30.066011428833008,90.30000305175781
2008-01-28,21.277307510375977,24.92170524597168,30.877092361450195,91.75
2008-01-29,21.269546508789062,25.354045867919922,30.955421447753906,91.1500015258789
2008-01-30,21.38604164123535,25.632972717285156,30.972192764282227,92.05999755859375
2008-01-31,21.331666946411133,25.804967880249023,31.25747299194336,91.4000015258789
2008-02-01,21.4422664642334,26.153615951538086,31.766494750976562,89.3499984741211
2008-02-04,21.411102294921875,26.293079376220703,31.291032791137695,89.0999984741211
2008-02-05,21.259252548217773,25.251781463623047,29.540206909179688,87.68000030517578
2008-02-06,21.267038345336914,25.10301399230957,29.8366756439209,88.94999694824219
2008-02-07,21.126874923706055,24.89382553100586,29.652084350585938,89.8499984741211
2008-02-08,21.169708251953125,24.666027069091797,29.48426628112793,91.0
2008-02-11,21.282617568969727,24.879873275756836,29.57377815246582,91.33000183105469
2008-02-12,21.220306396484375,25.28896713256836,30.26738166809082,89.33000183105469
2008-02-13,21.177492141723633,25.739892959594727,30.70370101928711,89.44000244140625
2008-02-14,21.177492141723633,25.702699661254883,30.396047592163086,89.70999908447266
2008-02-15,21.267038345336914,25.758485794067383,30.284151077270508,89.1500015258789
2008-02-19,21.181392669677734,25.818920135498047,30.65894889831543,91.58000183105469
2008-02-20,21.17359733581543,26.065303802490234,30.653352737426758,93.23999786376953
2008-02-21,21.294292449951172,25.986270904541016,30.524702072143555,93.25
2008-02-22,21.403316497802734,26.311677932739258,30.79319190979004,93.38999938964844
2008-02-25,21.274829864501953,26.64638900756836,31.19593048095703,92.73999786376953
2008-02-26,21.4383602142334,27.050817489624023,31.777673721313477,93.70999908447266
2008-02-27,21.625272750854492,27.092660903930664,31.99584197998047,94.77999877929688
2008-02-28,21.827713012695312,27.064773559570312,31.710559844970703,95.98999786376953
2008-02-29,21.995159149169922,26.49297332763672,30.664533615112305,96.18000030517578
2008-03-03,22.034549713134766,26.60454750061035,30.8211612701416,97.23999786376953
2008-03-04,22.00334930419922,26.465084075927734,30.3457088470459,95.18000030517578
2008-03-05,22.042369842529297,26.664981842041016,30.809974670410156,97.72000122070312
2008-03-06,22.178924560546875,26.49762535095215,30.29535675048828,96.5
2008-03-07,22.159433364868164,26.162919998168945,29.937360763549805,96.08999633789062
2008-03-10,22.19843292236328,25.800317764282227,29.78633689880371,95.87000274658203
2008-03-11,22.093088150024414,26.460439682006836,30.815563201904297,95.98999786376953
2008-03-12,22.459863662719727,26.623144149780273,30.87151527404785,97.01000213623047
2008-03-13,22.522310256958008,26.7997989654541,31.039323806762695,98.33999633789062
2008-03-14,22.939828872680664,26.5255184173584,30.384849548339844,98.70999908447266
2008-03-17,22.76422882080078,26.167577743530273,30.088397979736328,99.16999816894531
2008-03-18,22.725208282470703,26.539470672607422,30.955421447753906,96.5
2008-03-19,22.55352020263672,25.42842674255371,29.864643096923828,93.04000091552734
2008-03-20,22.377933502197266,25.786376953125,30.09028434753418,89.91000366210938
2008-03-24,22.026752471923828,26.24658966064453,30.66701889038086,90.0999984741211
2008-03-25,22.48719024658203,26.43719482421875,31.266122817993164,92.7300033569336
2008-03-26,22.63546371459961,26.534814834594727,31.46770668029785,93.80000305175781
2008-03-27,22.60426139831543,26.70217514038086,31.434106826782227,93.45999908447266
2008-03-28,22.62765884399414,26.664981842041016,31.40052032470703,91.87999725341797
2008-03-31,22.615978240966797,27.088008880615234,31.55170249938965,90.41000366210938
2008-04-01,22.380931854248047,27.65980339050293,32.64914321899414,86.86000061035156
2008-04-02,22.404380798339844,27.552885055541992,32.677127838134766,89.2699966430664
2008-04-03,22.412195205688477,27.59471893310547,32.72754669189453,89.41999816894531
2008-04-04,22.517797470092773,27.53428840637207,32.90110397338867,90.25
2008-04-07,22.443479537963867,27.46920394897461,33.01869583129883,91.16999816894531
2008-04-08,22.427845001220703,27.157745361328125,32.93471145629883,90.3499984741211
2008-04-09,22.486515045166016,27.11125946044922,32.749935150146484,92.29000091552734
2008-04-10,22.486515045166016,26.93460464477539,32.5987548828125,91.7699966430664
2008-04-11,22.639041900634766,26.572010040283203,32.005245208740234,91.30000305175781
2008-04-14,22.6429500579834,26.771902084350586,32.128414154052734,91.11000061035156
2008-04-15,22.486515045166016,26.7533016204834,32.313175201416016,91.66000366210938
2008-04-16,22.607736587524414,27.194929122924805,33.24266052246094,93.2699966430664
2008-04-17,22.388742446899414,27.14844512939453,32.72754669189453,92.55999755859375
2008-04-18,22.2205867767334,27.171689987182617,33.192264556884766,90.62000274658203
2008-04-21,22.333999633789062,27.246063232421875,33.26505661010742,90.25
2008-04-22,22.474775314331055,27.078712463378906,32.88431167602539,90.2699966430664
2008-04-23,22.447406768798828,26.94853973388672,32.97949981689453,89.22000122070312
2008-04-24,22.14236831665039,26.76724624633789,32.7219352722168,87.22000122070312
2008-04-25,21.766950607299805,26.920663833618164,32.95709991455078,87.2699966430664
2008-04-28,21.95075225830078,27.15310287475586,32.9402961730957,87.69000244140625
2008-04-29,21.942930221557617,26.84164047241211,32.738731384277344,85.80999755859375
2008-04-30,22.087629318237305,26.892772674560547,32.95150375366211,86.6500015258789
2008-05-01,21.842533111572266,27.13914680480957,33.25386428833008,83.98999786376953
2008-05-02,21.81900405883789,27.125205993652344,33.21466064453125,84.58000183105469
2008-05-05,21.940568923950195,27.194929122924805,33.225868225097656,86.2699966430664
2008-05-06,21.97586441040039,27.515695571899414,33.41624069213867,86.62999725341797
2008-05-07,21.905271530151367,27.055469512939453,32.766719818115234,85.81999969482422
2008-05-08,21.971939086914062,27.30185317993164,32.8507194519043,87.23999786376953
2008-05-09,22.14055824279785,27.129863739013672,32.72754669189453,87.41999816894531
2008-05-12,22.117034912109375,27.52964210510254,33.12508773803711,86.98999786376953
2008-05-13,21.964096069335938,27.21818733215332,32.906707763671875,85.38999938964844
2008-05-14,21.8738956451416,27.01828384399414,33.080284118652344,85.19999694824219
2008-05-15,21.764095306396484,27.260011672973633,33.42744445800781,87.0
2008-05-16,21.920963287353516,27.538928985595703,33.7969856262207,89.0999984741211
